|Curso|Opiniones|Puntaje
0|Curso Maestro de Python 3: Aprende Desde Cero|15989|5
1|Curso completo de Machine Learning: Data Science en Python|5075|5
2|Python 3. Curso completo de Python 3. Aprende desde cero|4713|4
3|Master en Python: Aprender Python 3, Django, Flask y Tkinter|2108|5
4|Python sin fronteras: HTML, CSS, Flask y MySQL|2546|5
5|Universidad Python - Django, Flask, Postgresql y más! +40hrs|1509|5
6|Aprende Programación en Python|914|5
7|Python para Android, iOS, Windows, Linux y Mac - Desde Cero|1131|4
8|Curso de cálculo en una variable con Python y Wolfram Alpha|17|5
9|Curso de series temporales multivariantes con R y Python|14|4
10|Machine Learning de A a la Z: R y Python para Data Science|1484|5
11|Curso completo de Inteligencia Artificial con Python|1538|4
12|Entrenamiento completo en Data Science con Python 2020|1108|5
13|Curso Completo Python 3 - Desde las Bases hasta Django|1910|4
14|Curso avanzado de estadística no paramétrica con R y Python|13|5
15|Python Desde 0 Hasta Hacking - MÁSTER En Hacking con Python3|849|4
16|Aprende Python 3 desde 0|165|5
17|Curso de Python 2020 -De cero hasta Tkinter, Flask y Django|765|4
18|Machine Learning y Data Science con Python|777|5
19|Sistema de Compra y Facturación con Python usando Django|418|4
20|Inversiones y Trading con Python. De 0 a Experto. Año 2020.|413|4
21|MASTER EN MACHINE LEARNING 2020 Y REDES NEURONALES! (PYTHON)|779|4
22|Curso completo de Estadística descriptiva - RStudio y Python|837|5
23|TensorFlow. Curso de TensorFlow para Deep Learning y Python|559|4
24|Curso avanzado de Series Temporales con R y Python|122|5
25|Aprende a programar desde cero con Python|92|5
26|Deep Learning de A a Z:redes neuronales en Python desde cero|206|5
27|Procesamiento del Lenguaje Natural con Python (NLP)|108|5
28|Curso de Python: Domínalo de una forma práctica y dinámica|151|5
29|Evoluciona desde Excel a Python|10|5
30|Seguridad Informática: Hacking con Python Recargado.Año 2020|129|5
31|Probabilidad para Machine Learning y Big Data con R y Python|133|5
32|Análisis de Datos con Pandas y Python|166|4
33|RestFul Api con Python usando Django Rest FrameWork|268|4
34|Python A-Z: Python para Data Science con Ejercicios Reales!|132|4
35|SIG con Python en QGIS 3|216|4
36|Programación Orientada a Objetos haciendo juegos con Python|11|5
37|OpenCV. Curso de OpenCV para visión por ordenador con Python|489|4
38|Flask con Python 3 + integración con Vue y Bootstrap 4|74|4
39|Aprende a programar con Python 3 desde cero|10|5
40|Resuelve problemas de matemáticas con Python/Sage desde cero|46|5
41|Computer Vision y Machine Learning con Python|42|5
42|Comienza con Python: Curso de Python para principiantes|48|5
43|Django y Flask - Desarrollo Web Profesional con Python|178|4
44|Aprende a analizar los datos del COVID19 con R y Python|77|5
45|Deep Learning - Redes Neuronales con Python|110|4
46|Machine Learning y Ciencia de Datos con Python|23|4
47|Curso de Python Estilo Silicon Valley|13|4
48|2020 Python con Google Colab: Desde cero bien explicado.|12|5
49|Aprende Python desde cero|63|5
50|Python para Ciencia de Datos y Machine Learning|207|4
51|Fórmate como Developer: Programación y código en Python|10|5
52|Curso avanzado de estadística multivariante con R y Python|75|5
53|Análisis de Datos y Gráficos con Python: Panda y Matplotlib.|60|4
54|Estadística inferencial para Machine Learning con R y Python|123|4
55|Aprende Python con ejercicios prácticos|16|4
56|Introducción a la programación con Python 3.6|14|4
57|Python Fullstack Senior Developer|9|5
58|Python. Gráficos interactivos con Plotly y Dash en Python|62|5
59|Fundamentos de Python: Curso Práctico y Desde Cero.|55|4
60|Python 3 : Programación Orientada a Objetos|148|4
61|Aprende a Invertir usando Python|6|3
62|Curso Completo Machine Learning con Python 2020|56|5
63|Procesamiento del Lenguaje Natural Moderno en Python|21|5
64|Desarrolla tu primer juego con Python en Español|30|5
65|Inteligencia Artificial con Python - Paso a Paso|13|4
66|Python para Trading e Inversiones|249|4
67|Aprende Python de forma practica creando aplicaciones 2020|24|5
68|Machine Learning en Python y MATLAB: mapas auto-organizados|8|5
69|Python Pandas desde cero a Intermedio!|61|4
70|Máster Dashboards Interactivos con Python – Dash & Plotly|18|5
71|Visualización Interactiva con Python|9|4
72|Python para Ciencia de Datos - Machine Learning con Python|28|5
73|Trading algoritmico con Python|18|4
74|Aprendizaje por Refuerzo Profundo 2.0 en Python|16|5
75|2020 Python Completo: De Cero a Héroe en Python|10|4
76|Python: Aprende a programar paso a paso.|59|4
77|Aprende a programar en Python 3|46|4
78|Selenium Testing Framework con Python ¡De novato a experto!|312|4
79|Curso Python de cero a profesional. Conviertete en maestro|29|4
80|Robótica con Python: Visión por computador control de robots|26|4
81|Machine Learning. Curso básico de Machine Learning|1438|5
82|Python Acelerado|15|4
83|¡Python 3 para todos! de principiante a avanzado|30|4
84|Aprende Python 3 de forma PRACTICA desde 0 hasta Avanzado|10|4
85|Visualización de Datos en Python - Matplotlib!|43|4
86|Python para Inteligencia Artificial|33|4
87|Automatiza tu navegador. Selenium WebDriver con Python.|418|4
88|Machine Learning desde cero: Proyectos reales en Python 3|67|5
89|Crear Herramientas con Python + QtDesign para Maya|4|5
90|Aprendiendo python 2020-2021 técnicas básicas y avanzadas|4|5
91|PYTHON PRÁCTICO: Aprende Python para el mundo real!|135|4
92|Machine Learning con Python para Trading|65|4
93|Introducción a la visión por computador con python y opencv|14|5
94|Deep Learning con Python|5|4
95|Python - Introducción a la programación|16|4
96|Data Science con Python - Numpy & Pandas|18|5
97|Machine Learning con Python. Aprendizaje Automático Avanzado|19|5
98|Spark y Python con PySpark en AWS para Big Data|49|4
99|Aprende python desarrollando tu primer videojuego|7|5
100|Desarrollo Web con Python usando Django  para Principiantes|255|4
101|Python desde cero  - Aprende a Programar en Python|15|4
102|Machine Learning y Ciencia de Datos con Python|162|4
103|Robótica con Python y Arduino: Robot móvil diferencial|6|5
104|Desarrolla 1 Chatbot Messenger y aprende Python en el camino|60|5
105|Desarrollando Juego con Pygame 3.4 y Python|7|4
106|Django 3 con Python 3 + integración con Vue y Bootstrap 4|68|4
107|Aprende Ciencia de datos  desde cero con Python|20|4
108|Taller de Web Scraping para Python 2020|4|5
109|Criptografía con Python|39|4
110|Curso Master Profesional Python 3|10|4
111|Metodología de Data Science y Python Básico.|21|4
112|Django 3- Python de cero (Ajax+Json+SQL Server+Bootstrap 5)|1|5
113|Redes Neuronales con Python y Keras|13|4
114|Métodos Numéricos en Python. Teoría y Programación|38|4
115|Aparche Spark streaming con Python y PySpark|92|4
116|Python desde cero hasta analisis estadisticos Pandas y Numpy|120|3
117|Hacking con Python sec-1|9|4
118|Big Data con Python y Spark|89|4
119|Inteligencia Artificial con Python - Ejercicios Basicos|6|4
120|Ciencia de Datos con Python en QGis3.4|31|4
121|Curso de Raspberry Pi 4 Model B con Python, IoT y Domotica.|271|4
122|MÁSTER en Hacking Ético y Penetration Testing con Python 3|34|5
123|Árbol de decisiones para machine learning en python.|8|4
124|Curso completo Raspberry Pi. Aprende Python desde 0|21|5
125|Curso de SQLite3 2019 ¡Base de datos de SQLite-Python!|80|4
126|Python 3: Curso completo de cero a experto.|132|4
127|"Máster en Análisis de Datos con Python|Power Bi|Excel. 2020."|73|4
128|Aprende a programar con Python. Prácticando con proyectos|0|0
129|Python Estructuras de Datos y Algoritmos MASTERCLASS|4|5
130|Python/Sentiment Analysis/NLP|5|4
131|Aprende Machine Learning Desde Cero con Python|24|4
132|Python 'EXPRESS' - Prepara tu EXAMEN (Universidad)|2|5
133|Deep Learning con Python y Keras. Redes Neuronales avanzado.|3|5
134|Introducción a Python|3|4
135|Análisis de Sentimientos en Redes Sociales con Python|39|3
136|Blockchain y Criptomonedas con Python|27|4
137|Curso Master de Python 3 hasta Django, NumPy y Pandas|26|4
138|Programacion Python para Hacking Etico - Paso a Paso|5|4
139|Aprende programación en Python desde cero.|56|4
140|Data Science con Python – Visualización Matplotlib & Seaborn|6|4
141|Web Scraping: Extracción de datos y automatización en la web|422|5
142|Inteligencia Artificial con Python - Ejercicios Avanzados|3|4
143|Curso QA Automation Testing con Python y Selenium WebDriver|43|4
144|Curso maestro de Web Scraping: Extracción de Datos de la Web|351|5
145|La guía completa: API Testing con Python|34|3
146|Creá y hosteá gratis tu primera web con Django-Python!|2|5
147|Chatbots: La guia definitiva con python y Dialogflow|30|5
148|EPANET y PYTHON para simular Redes de agua: PARTE 2|8|4
149|Desarrollo Web con Python - Tienda Online con Django|13|3
150|Curso de Python de cero hasta un nivel avanzado full stack|47|3
151|Python 3 Para Machine Learning: Desde Cero (Es Facil)|440|2
152|Aprenda Python - fácil - Español|2|3
153|Aprende Python en un solo día|1|5
154|Curso  de Python3 - Introducción a Python|84|3
155|Python 3.x desde cero|1|4
156|Curso completo de creación de videojuegos 2020|14|5
157|EPANET y PYTHON para modelar redes de agua. Parte 1|50|4
158|Curso Python - APIs con Flask|1|4
159|Certificado Fundamentos de Python 2020 desde cero|1|4
160|Fundamentos de Programación + Python de Principiante a Pro|3|5
161|Aprende Análisis De Datos Con 8 Proyectos En Pandas|8|5
162|Masterclass de Programación Orientada a Objetos con Python|1|4
163|Aprende Python en Tiempo Record|0|0
164|Máster en Desarrollo - de Cero a Avanzado. Muchos lenguajes.|321|4
165|Curso de Programación (Python 2 & Python 3)|0|0
166|Aprenda web-GIS fácil! + Python para ArcGIS Pro|15|3
167|Python de 2 a 3|0|0
168|De 0 a programador en Python|0|0
169|Desarrollando Clon de Flappy Bird y Mas Con Pygame|7|4
170|Professional Python Front end and Database|0|0
171|Inteligencia Artificial aplicada a Empresas (con Python)|0|0
172|Python 3.x desde cero para principiantes usando la terminal|0|0
173|Machine Learning con Python|0|0
174|Curso de Desarrollo Web Completo 2.0|2664|4
175|Desarrollo Web con Python - Crea un Blog con Django|1|2
176|Curso Excel, Power BI, Python|0|0
177|Deep Learning con Tensorflow para Machine Learning e IA|244|4
178|Machine Learning en Python: aprendizaje supervisado|0|0
179|Deep Learning e Inteligencia artificial con Keras/Tensorflow|241|4
