Usuario,Opinión,Puntuación
Sidreria El Navio,"Terraza con vistas, y camareros muy agradables y serviciales. Siempre dispuestos a que lo pases y comas lo mejor posible. En cuanto alguien se levanta, siempre limpiando. Covid free.
tortilla increíble, foie, tortitas de camarón y ostras!! Y las patatas fritas de la niña del campillo, las mejores que he probado!
Así da gusto!", 5 estrellas 
Hotel Puerto Juan Montiel SPA & Base Náutica,"Yo hablo por la cafeteria. Genial para tomar cualquier cosa. El trato es excepcional, la camarera que nos ha atendido, ayer y hoy majísima, muy agradable! Así da gusto ir a los sitios. Vistas increíbles. Podrías pasar horas y horas mirando el horizonte.", 5 estrellas 
Pastelería Oranje,Las milhojas invertidas son espectaculares!, 4 estrellas 
Restaurante Amazonico,"Me parece increíble que en la situación que estamos viviendo se acepten 7 personas en restaurantes de este tipo, que se supone que el servicio es lo más importante. No solo una mesa sino 2 y 3 mesas. No cumplir las normas me parece una…", 2 estrellas 
Salón Cheska,"El trato es muy bueno por parte de toda la plantilla. Te sientes como en casa. Además las mechas geniales y el corte de Cheska maravilloso, fácil de peinar, favorecedor y cómodo! Volveré.
Además todo está preparado para el distanciamiento covid.", 5 estrellas 
La Maruca - Castellana,Un sitio para repetir! El servicio fenomenal y la comida de primera calidad! Siempre ea un acierto el grupo Cañadio., 5 estrellas 
Casa Julián de Tolosa,La carne está brutal y los pimientos riquísimos! Casa Julián siempre es una buena opción!, 5 estrellas 
Salvaje Madrid Restaurante,"Todos los platos estaban exquisitos y muy bien presentados.
Por ponerle un pero al local, la música estaba muy alta para ser la hora de comer.", 4 estrellas 
Pilar Akaneya,"El sitio está muy bien ambientado, es muy acogedor, te trasladas a Japón. Los trabajadores te tratan muy bien. Y la comida está muy sabrosa, pedimos los dos menús para probar de todo, a la próxima ya no lo haría así. Un pero sería que Las gambas eran frescas.", 4 estrellas 
Bel Mondo,"El sitio es una maravilla. La decoración espectacular. El trato del personal es muy agradable, todos muy atentos. En nuestro caso Rita nos trato de fabula, todos aus consejos y recomendaciones fueron buenísimos. Risotto, pasta de trufa y…", 5 estrellas 
Centro Comercial Carrefour Alcobendas,Bien duro para comprar y comer, 4 estrellas 
Quinta de la Fuente del Berro,"Este parque es una pequeña joya de Madrid, es uno de los parque más bonitos y antiguos de la capital en el que se puede ver una gran variedad de árboles. Tiene una cascada artificial muy bonita, con una escalera transitable al lado que es…", 5 estrellas 
Parque Juan Pablo II,"Me gustó mucho el parque, muy nuevo pero bonito. Lo único que no me gustó es que no hay suficiente espacio para pasear en el carril bici que da la vuelta. Sólo hay espacio para las bicis. Por lo demás me gustó mucho los juguetes de agua y la bomba manual.", 4 estrellas 
Juliettas hermosilla,"Mucha variedad tanto de pasteles como de pan, todo lo que hemos probado está muy bueno y el trato al cliente ha sido excelente. Tengo que destacar las palmeras y los pastelitos, son tremendos y te costará comerte solo uno.", 5 estrellas 
Hamburguesa Nostra,"Un buen sitio para tomar hamburguesas, nada más", 3 estrellas 
Restaurante Amazonico,"Excelente, maravilloso lo mires por donde lo mires. El local es muy agradable, amplio, muy bien decorado y con música perfecta para charlar. La comida es excepcional, el género es muy fresco (nos pedimos sushi maki) y está muy bien…", 5 estrellas 
El Perro y la Galleta Castelló 12,"Un desastre. Llegamos con reserva y nos ponen en una mesa no preparada junto a una mesa auxiliar llena de manteles y vasos sucios. Los dos camareros están enfadados por falta de personal; tienen que recibir a la gente, tomar comandas,…", 1 estrella 
El Escondite de Villanueva,"Fuimos para tomar el brunch y nos pareció un sitio correcto. La comida estaba bien, sin mucho que destacar. La cantidad de comida también correcta, el trato al cliente también está bien. el precio está en línea con todo, al final es un buen sitio pero nada que destacar.", 4 estrellas 
Restaurante DESENCAJA,"Una auténtica aventura gastronómica, mis más sinceros respetos al chef por sorprenderme en cada plato. Este maestro de la cocina lleva la caza fuera del nicho de "" comida fuerte, pesada y solo para algunos"" y la trasnforma en platos…", 5 estrellas 
Parque El Capricho,"Posiblemente el parque / jardín más bonito de Madrid. Necesita más atención pues las fuentes están casi todas vacías o con el agua extremadamente sucia, pero es un lugar alucinante.", 5 estrellas 
BUA GARDEN Restaurant,"Domingos por la tarde música en vivo. Hermoso sitio, atardecer viendo el golf y elmar.- Imperdible", 5 estrellas 
La Cabaña de Sotogrande,, 5 estrellas 
Puerto Deportivo De La Duquesa,"Siempre es un placer pasear por allí. De mañana, de tarde, las noches de verano. Buenos restaurantes, bares y ambiente agradable.", 5 estrellas 
ALE-HOP,Todo siempre super organizado., 5 estrellas 
Chiringuito el paseo,Buen trato. Terraza de ambos lados. Siempre hay sol para disfrutar. Un punto de encuentro en Sabinillas., 5 estrellas 
Da Cosimo Vistamare Benalmadena Pueblo,Riquísimo. Abundante. Hermosas vistas. Buen trato., 5 estrellas 
Burger King,, 5 estrellas 
Restaurante Amazonico,"Precioso lugar, recuerda a los espetos de lujo de Brasil con toque asiatico. Comida excelente. Imperdible el Curry, el wok de 25 verduras, ojo de bife y si les queda lugar, para cucharear postre,la piña asada. Altamente recomendable. La atención muy buena. La carta de coctails super original, invita a probarlos.", 5 estrellas 
La Máquina La Moraleja,"La atención, la variedad de la carta, el sitio. Fideuá, pilpil, chuletas de cordero, etc... Todo exquisito.", 5 estrellas 
Bebola,"Muy acogedor. El servicio es excelente. Alberto ha hecho de nuestra noche una delicia. No pudimos ver el menú por tema qr y el nos ofreció tres platos exquisitos, muy bien hechos,en cantidad exacta para nosotras dos. Hay que reservar porque tanto dentro como en terraza es muy concurrido. Un lugar para descubrir y volver.", 5 estrellas 
Restaurante Los Pepes,Ha sido el chiringuito de nuestras vacaciones este verano ya que hemos ido día si y día también. Calidad magnífica y servicio muy bueno. Siempre repetimos., 5 estrellas 
Restaurante Amazonico,Es un lugar diferente con una decoración muy apropiada. Gran variedad de cócteles. La comida muy buena y el trato correcto. Y algo importante muy limpios los baños. Cumplen las medidas de covid perfectamente., 5 estrellas 
Abako Restaurante,Sitio agradable y acogedor. La atención estupenda y la comida muy buena. Da gusto poder encontrar en Villanueva un sitio diferente., 5 estrellas 
Eurostars Azahar,, 5 estrellas 
Café Iruña,, 4 estrellas 
Bodega El Capricho,"Visitamos el restaurante por tercera vez, y como siempre todo estupendo, empezando por el trato del personal y terminando por la esquisitez de la carne. Sin duda, volveremos de nuevo.", 5 estrellas 
Casa Nicolás de Tolosa,Calidad excelsa!!!! No hay mejor carne en mejor entorno., 5 estrellas 
