departamento,direccion,distrito,distrito_estatus,nombre_proyecto
Lima,Av. Paseo de la República 5745,Miraflores,CLASE ALTA,Proyecto Novara - ¡Iniciamos Construcción!
Lima,AV. BERLIN 363,Miraflores,CLASE ALTA,Proyecto Bohem Miraflores
Lima,Avenida Costanera ,San Miguel,CLASE ALTA,Proyecto Âvida
Lima,Tudela y Varela 215,Miraflores,CLASE ALTA,Proyecto Tudela y Varela 215
Lima,Jirón Padre Urraca 216,San Miguel,CLASE ALTA,Proyecto Verdi
Lima,Calle Fermín Tangüis 160,La Victoria,CLASE MEDIA,Proyecto Hara - Santa Catalina
Lima,Calle Julian Sandoval 155 Surquillo,Surquillo,CLASE MEDIA,"Proyecto Edificio Start - Dsctos de Hasta $7,000 - ¡Entrega Inmediata!"
Lima,Calle Los Cisnes 395 ,San Isidro,CLASE ALTA,Proyecto W - Worldclass
Lima,Av. Mello Franco 652,Jesús María,CLASE MEDIA,Proyecto Pérgola
Lima,calle piura 560,Miraflores,CLASE ALTA,Proyecto Piura
Lima,"Calle General Mendiburu , miraflores",Miraflores,CLASE ALTA,Proyecto Velnes
Lima,Av. Javier Prado Oeste 770,Magdalena,CLASE MEDIA,Proyecto We Live - ¡Visita Piloto!
Lima,Calle faisanes 337,Chorrillos,CLASE ALTA,Proyecto Faisanes
Lima,"Sala de Ventas: Altura de Esquina de C.C. Real Plaza de Av. Guardia Civil Sur, Santiago de Surco",Santiago de Surco,CLASE MEDIA,Proyecto Condominio Esencial - Gran Pre Venta!
Lima,Av. Boulevard de Surco 502,San Borja,CLASE ALTA,Proyecto Residencial Boulevard
Lima,Jr. Kenko ,Santiago de Surco,CLASE MEDIA,Proyecto Residencial Kenko
Lima,calle : General Mendiburu 559 - 557,Miraflores,CLASE ALTA,"Proyecto ""Icono 559"""
Lima,Jr. Huiracocha 2257,Jesús María,CLASE MEDIA,Proyecto Edificio Huiracocha 2257
Lima,Calle Los Libertadores 665,San Isidro,CLASE ALTA,Proyecto Libertà
Lima,Av. San Felipe 209,Jesús María,CLASE MEDIA,Proyecto Damasco - Jesús María
Lima,Av. Juan de Aliaga 650,Magdalena,CLASE MEDIA,Proyecto Aliaga 650
Lima,Calle General Recavarren ,Miraflores,CLASE ALTA,Proyecto Recavarren 181
Lima,Jirón Perseo N° 164,Chorrillos,CLASE ALTA,Proyecto Residencial Perseo
Lima,Av. Manuel Castañeda 329,Lince,CLASE MEDIA,Proyecto Residencial El Nogal - Lince
Lima,Calle Grimaldo del Solar 247,Miraflores,CLASE ALTA,Proyecto Grimaldo 247
Lima,Av. Bertolotto 850,San Miguel,CLASE ALTA,Proyecto Pacifik Ocean Tower
Lima,Av. Talara 171,Jesús María,CLASE MEDIA,Proyecto Los Laureles
Lima,Av.  Arenales Nº 1176 ,Jesús María,CLASE MEDIA,Proyecto Edificio Citanova
